Id,age,Industry,job,salary,currency,country,years_field_experience,education,gender,salary_usd,new_currency
7892,25-34,Education (Higher Education),Career Education Specialist,70000,CAD,Canada,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,56035.700000000004,USD
7893,25-34,Nonprofits,Stewardship Director,61000,USD,USA,8 - 10 years,Master's degree,Woman,61000.0,USD
7894,35-44,Education (Higher Education),Lead Gift Analyst,75300,USD,United States of America,5-7 years,College degree,Woman,75300.0,USD
7895,18-24,Media & Digital,Marketing Associate - Video Producer,56000,USD,United States,5-7 years,College degree,Non-binary,56000.0,USD
7896,25-34,Nonprofits,Development Director,42000,USD,United States,2 - 4 years,College degree,Woman,42000.0,USD
7897,25-34,Agriculture or Forestry,Farm site manager ,72100,CAD,Canada,8 - 10 years,College degree,Other or prefer not to answer,57716.771,USD
7898,35-44,"Accounting, Banking & Finance",Payroll Specialist,37960,USD,United States of America,2 - 4 years,Master's degree,Woman,37960.0,USD
7899,55-64,Business or Consulting,Executive Assistant,80000,USD,U.S.,5-7 years,Some college,Woman,80000.0,USD
7900,35-44,Engineering and Environmental Consulting,Project Manager,75000,USD,US,5-7 years,Master's degree,Woman,75000.0,USD
7901,35-44,Government and Public Administration,Digital marketing ,71000,AUD,Australia,8 - 10 years,College degree,Woman,52752.29,USD
7902,35-44,"Accounting, Banking & Finance",Accountant,78000,AUD,Australia,8 - 10 years,College degree,Woman,57953.22,USD
7903,25-34,"Accounting, Banking & Finance",Staff Accountant,42300,USD,USA,5-7 years,College degree,Woman,42300.0,USD
7904,55-64,Sales,Inside Sales,54000,USD,US,11 - 20 years,College degree,Woman,54000.0,USD
7905,25-34,Restaurant ,Service Manager,55000,USD,US,2 - 4 years,Some college,Non-binary,55000.0,USD
7906,25-34,Computing or Tech,Principal Software Engineer,92000,USD,United States,11 - 20 years,College degree,Man,92000.0,USD
7907,18-24,"Accounting, Banking & Finance",Analyst,100000,USD,USA ,2 - 4 years,College degree,Woman,100000.0,USD
7908,35-44,Nonprofits,Museum Executive Director ,48000,USD,United States,11 - 20 years,Master's degree,Woman,48000.0,USD
7909,25-34,Government and Public Administration,Senior Analyst,102000,USD,USA,2 - 4 years,Master's degree,Man,102000.0,USD
7910,25-34,Education (Higher Education),Visiting Lecturer,52000,USD,US,5-7 years,PhD,Woman,52000.0,USD
7911,45-54,Transport or Logistics,Administrator,64480,USD,USA,8 - 10 years,College degree,Woman,64480.0,USD
7912,35-44,Nonprofits,Deputy Program Director,110000,USD,USA,11 - 20 years,Master's degree,Woman,110000.0,USD
7913,35-44,Government and Public Administration,Assistant Director ,119000,AUD,Australia ,8 - 10 years,High School,Woman,88415.81,USD
7914,35-44,Communications/publications,Editor,36920,CAD,Canada,8 - 10 years,College degree,Woman,29554.829200000004,USD
7915,25-34,Computing or Tech,Executive Assiatant II,86000,USD,US,2 - 4 years,College degree,Woman,86000.0,USD
7916,25-34,Nonprofits,Communications Manager,56000,USD,United States,8 - 10 years,Master's degree,Woman,56000.0,USD
7917,25-34,Education (Primary/Secondary),School Counselor,53024,USD,United States,5-7 years,Master's degree,Woman,53024.0,USD
7918,25-34,Media & Digital,Program Manager,112000,USD,US,8 - 10 years,Some college,Woman,112000.0,USD
7919,25-34,Government and Public Administration,Research Civil Engineer,83000,USD,United States,5-7 years,Master's degree,Woman,83000.0,USD
7920,35-44,Nonprofits,EA to CEO,35208,GBP,UK,8 - 10 years,College degree,Woman,45892.57176,USD
7921,35-44,Government and Public Administration,Grants Manager,84000,USD,USA,8 - 10 years,College degree,Non-binary,84000.0,USD
7922,35-44,"Marketing, Advertising & PR",Content Marketing Manager,92000,USD,United States,5-7 years,Master's degree,Woman,92000.0,USD
7923,35-44,Computing or Tech,Senior Project Manager,116000,USD,United States,5-7 years,Some college,Woman,116000.0,USD
7924,45-54,Government and Public Administration,Medical Officer,180000,USD,USA,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,180000.0,USD
7925,25-34,Art & Design,Motion Designer,69000,CAD,Canada,2 - 4 years,College degree,Non-binary,55235.19,USD
7926,35-44,Utilities & Telecommunications,Program Analyst,50000,USD,United States,8 - 10 years,Some college,Woman,50000.0,USD
7927,25-34,Media & Digital,Merchandising Lead ,88000,USD,US,5-7 years,Master's degree,Woman,88000.0,USD
7928,45-54,Nonprofits,Communications and Fund Development Manager,63000,CAD,Canada,2 - 4 years,Some college,Woman,50432.130000000005,USD
7929,45-54,Health care,Clinician 2,69000,USD,United States,11 - 20 years,Master's degree,Woman,69000.0,USD
7930,45-54,Computing or Tech,Firmware Tester,100000,CAD,Canada,21 - 30 years,College degree,Woman,80051.0,USD
7931,35-44,Health care,Scientist II,133000,USD,USA,11 - 20 years,College degree,Woman,133000.0,USD
7932,35-44,Law,In-house Litigation Paralegal,88077,USD,United States,21 - 30 years,College degree,Woman,88077.0,USD
7933,45-54,Health care,Supervisor,74000,USD,US,2 - 4 years,College degree,Woman,74000.0,USD
7934,35-44,Engineering or Manufacturing,Civil / Environmental Engineer,69000,AUD,New Zealand,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,51266.310000000005,USD
7935,45-54,Engineering or Manufacturing,Engineering Project Manager,127000,USD,USA,21 - 30 years,Master's degree,Man,127000.0,USD
7936,18-24,Nonprofits,Animal Caregiver,24960,USD,United States,2 - 4 years,College degree,Woman,24960.0,USD
7937,25-34,Nonprofits,Finance Assistant,37000,USD,United States,2 - 4 years,College degree,Other or prefer not to answer,37000.0,USD
7938,45-54,Health care,Licensed massage therapist,48000,USD,USA,5-7 years,Some college,Woman,48000.0,USD
7939,25-34,"Accounting, Banking & Finance",Assurance Associate,55000,USD,United States of America,1 year or less,College degree,Woman,55000.0,USD
7940,25-34,Nonprofits,Program Officer,55000,USD,USA,8 - 10 years,College degree,Woman,55000.0,USD
7941,35-44,Nonprofits,Executive Director,52000,USD,U.S.,1 year or less,PhD,Woman,52000.0,USD
7942,45-54,Transport or Logistics,Logistics Coordinator,54370,USD,United States,11 - 20 years,Some college,Woman,54370.0,USD
7943,18-24,"Marketing, Advertising & PR",Written Content Specialist,54075,USD,USA,2 - 4 years,College degree,Woman,54075.0,USD
7944,25-34,Education (Higher Education),Library Associate,44000,USD,USA,5-7 years,Master's degree,Woman,44000.0,USD
7945,25-34,Computing or Tech,QA Analyst,72800,USD,United States of America,2 - 4 years,College degree,Man,72800.0,USD
7946,25-34,"Marketing, Advertising & PR",Communications Manager,55000,EUR,Germany,2 - 4 years,Master's degree,Woman,59878.5,USD
7947,25-34,Nonprofits,"Director of Media, Outreach and Education",50000,USD,USA,5-7 years,College degree,Woman,50000.0,USD
7948,35-44,Law,Attorney,100000,USD,United States,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,100000.0,USD
7949,35-44,Social Work,Director of Behavioral Health ,170000,USD,US,11 - 20 years,Master's degree,Woman,170000.0,USD
7950,35-44,Food,Executive Assistant ,47000,EUR,France,5-7 years,Master's degree,Woman,51168.9,USD
7951,35-44,Computing or Tech,Pricing Strategy Manager,78000,GBP,UK,8 - 10 years,College degree,Non-binary,101670.65999999999,USD
7952,35-44,Government and Public Administration,Research Advisor ,122000,USD,United States,2 - 4 years,Master's degree,Woman,122000.0,USD
7954,35-44,Education (Primary/Secondary),Consulting Behavior Analyst,98000,USD,USA,11 - 20 years,Master's degree,Woman,98000.0,USD
7955,25-34,Insurance,Predictive Modeler,68600,USD,United States,2 - 4 years,PhD,Woman,68600.0,USD
7956,45-54,Nonprofits,Director of Development Operations,109500,USD,US,11 - 20 years,Master's degree,Woman,109500.0,USD
7957,25-34,Faith/spirituality,Minister (united church),72000,CAD,Canada,2 - 4 years,Master's degree,Woman,57636.72,USD
7958,25-34,"Marketing, Advertising & PR",Director of Communications,121000,USD,United States,8 - 10 years,College degree,Woman,121000.0,USD
7959,45-54,Education (Higher Education),Research Specialist Senior,50000,USD,USA,11 - 20 years,Master's degree,Woman,50000.0,USD
7960,35-44,Nonprofits,Controller,110000,USD,US,11 - 20 years,Master's degree,Woman,110000.0,USD
7961,25-34,"Marketing, Advertising & PR",Product Marketing Manager,82500,USD,United States,5-7 years,College degree,Woman,82500.0,USD
7962,35-44,"Accounting, Banking & Finance",Project Coordinator,58000,USD,USA ,2 - 4 years,College degree,Woman,58000.0,USD
7963,25-34,Government and Public Administration,Business Technology Liaison ,51600,USD,USA,2 - 4 years,Master's degree,Non-binary,51600.0,USD
7964,35-44,awards and engraving,Engraver,35000,USD,USA,21 - 30 years,High School,Woman,35000.0,USD
7965,45-54,Health care,Instructional Designer,78260,USD,United States,5-7 years,College degree,Woman,78260.0,USD
7966,35-44,Education (Higher Education),Communications and Event Coordinator,53000,USD,USA,11 - 20 years,Master's degree,Woman,53000.0,USD
7967,35-44,Nonprofits,Communications associate,67600,USD,USA,11 - 20 years,Master's degree,Woman,67600.0,USD
7968,35-44,Health care,Business Conduct Specialist ,66000,EUR,Netherlands ,5-7 years,Master's degree,Woman,71854.2,USD
7969,35-44,Engineering or Manufacturing,Aerospace Engineer,114000,USD,USA,11 - 20 years,Master's degree,Woman,114000.0,USD
7970,25-34,Education (Higher Education),Student Success Librarian,62000,USD,United States,2 - 4 years,Master's degree,Man,62000.0,USD
7971,25-34,Biotechnology,Senior Quality Technician,49000,USD,United States,5-7 years,College degree,Non-binary,49000.0,USD
7972,35-44,Education (Higher Education),Student success advocate ,45009,USD,United States,8 - 10 years,Master's degree,Woman,45009.0,USD
7973,25-34,Computing or Tech,Technical support agent,30368,CAD,Canada ,1 year or less,Some college,Woman,24309.887680000003,USD
7974,35-44,Government and Public Administration,Claims Specialist,77905,USD,United States,11 - 20 years,College degree,Woman,77905.0,USD
7975,35-44,Education (Primary/Secondary),Math / Computer Science Teacher,57900,USD,USA,11 - 20 years,Master's degree,Man,57900.0,USD
7976,25-34,Government and Public Administration,Library Associate,33384,USD,U.S.A.,2 - 4 years,Master's degree,Other or prefer not to answer,33384.0,USD
7977,35-44,Property or Construction,HR Director,85000,USD,US,21 - 30 years,College degree,Woman,85000.0,USD
7978,35-44,Law,Associate Attorney,170000,USD,USA,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,170000.0,USD
7979,35-44,Computing or Tech,Technology Integration Specialist,86700,CAD,Canada,8 - 10 years,Master's degree,Woman,69404.217,USD
7980,35-44,Computing or Tech,Data Science Manager,220000,USD,USA,11 - 20 years,Master's degree,Man,220000.0,USD
7981,35-44,Nonprofits,"VP, Communications",227115,USD,U.S.,21 - 30 years,Master's degree,Woman,227115.0,USD
7982,45-54,Education (Primary/Secondary),Administration ,140000,USD,United States,21 - 30 years,Master's degree,Man,140000.0,USD
7983,35-44,Computing or Tech,Business Analyst,75000,USD,United States,8 - 10 years,College degree,Non-binary,75000.0,USD
7984,55-64,Education (Primary/Secondary),Teacher Librarian,83000,USD,United States,21 - 30 years,College degree,Woman,83000.0,USD
7985,25-34,Education (Higher Education),Associate Director of Operations,77112,USD,United States,8 - 10 years,Master's degree,Woman,77112.0,USD
7986,35-44,Recruitment or HR,HR Generalist,61000,USD,USA,5-7 years,College degree,Woman,61000.0,USD
7987,25-34,Social Work,Success Coach,47000,CAD,Canada,5-7 years,College degree,Woman,37623.97,USD
7988,45-54,Publishing,Ghostwriter ,120000,USD,USA,5-7 years,College degree,Woman,120000.0,USD
7989,25-34,Computing or Tech,Frontend web developer,55000,CAD,Canada,2 - 4 years,nan,Woman,44028.05,USD
7990,45-54,Education (Higher Education),Professor (full),131500,USD,USA,21 - 30 years,PhD,Woman,131500.0,USD
7991,25-34,"Accounting, Banking & Finance",Brokerage Risk Specialist,104500,USD,USA,5-7 years,College degree,Woman,104500.0,USD
7992,25-34,Government and Public Administration,Policy Advisor,87500,CAD,Canada,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,70044.625,USD
7993,25-34,Nonprofits,AmeriCorps Program Coordinator,49900,USD,United States ,2 - 4 years,Master's degree,Woman,49900.0,USD
7994,35-44,Engineering or Manufacturing,Human Resources Business Partner,90000,USD,United States,11 - 20 years,High School,Woman,90000.0,USD
7995,25-34,Engineering or Manufacturing,Supervisor ,105000,USD,USA ,8 - 10 years,College degree,Woman,105000.0,USD
7996,45-54,Government and Public Administration,Program Manager,89000,USD,USA,11 - 20 years,Master's degree,Woman,89000.0,USD
7997,45-54,Education (Primary/Secondary),Director of Library Services for Middle and Upper School,57000,USD,USA,11 - 20 years,Master's degree,Woman,57000.0,USD
7998,45-54,Education (Primary/Secondary),Special Education Teacher,73452,USD,USA,21 - 30 years,Master's degree,Woman,73452.0,USD
7999,35-44,Education (Primary/Secondary),Teacher,34000,USD,United States,11 - 20 years,College degree,Woman,34000.0,USD
8000,45-54,Education (Higher Education),Associate Director of Admissions,87000,USD,USA,21 - 30 years,Master's degree,Woman,87000.0,USD
8001,35-44,Government and Public Administration,Science and technology policy analyst,80000,CAD,Canada,11 - 20 years,Master's degree,Woman,64040.8,USD
8002,35-44,Engineering or Manufacturing,"Senior Specialist, Operational Excellence",90000,USD,US,8 - 10 years,Master's degree,nan,90000.0,USD
8003,18-24,Education (Higher Education),International Student Advisor,50000,USD,USA,5-7 years,Master's degree,Woman,50000.0,USD
8004,35-44,Computing or Tech,Senior Executive Assistant ,115000,USD,USA,8 - 10 years,Some college,Woman,115000.0,USD
8005,25-34,Insurance,Adjuster and Analyst,72000,USD,United States of America,2 - 4 years,Master's degree,Woman,72000.0,USD
8006,35-44,Government and Public Administration,Director of Research,115000,USD,USA,8 - 10 years,Master's degree,Woman,115000.0,USD
8007,55-64,Funeral,Office Manager,54000,USD,USA,8 - 10 years,Some college,Woman,54000.0,USD
8008,25-34,Nonprofits,Scientific Officer,26400,GBP,UK,2 - 4 years,College degree,Woman,34411.608,USD
8009,35-44,Education (Higher Education),Digital Scholarship Librarian,55000,USD,USA,8 - 10 years,Master's degree,Woman,55000.0,USD
8010,35-44,Government and Public Administration,Graphic designer ,51000,USD,US,5-7 years,Some college,Woman,51000.0,USD
8011,25-34,Nonprofits,Digital Marketing Manager,105109,CAD,Canada,11 - 20 years,College degree,Woman,84140.80559,USD
8012,25-34,Nonprofits,Operations Coordinator,44740,USD,United States,2 - 4 years,College degree,Woman,44740.0,USD
8013,25-34,Utilities & Telecommunications,Assistant project manager,41000,GBP,United Kingdom,5-7 years,Some college,Non-binary,53442.27,USD
8014,18-24,Education (Higher Education),Enquiry Assistant,22000,GBP,United Kingdom,1 year or less,College degree,Woman,28676.339999999997,USD
8015,25-34,"Accounting, Banking & Finance",Payroll Manager,45760,USD,US,2 - 4 years,Some college,Woman,45760.0,USD
8016,25-34,Health care,Advanced Specialist Speech and Language Therapist,40894,GBP,UK,8 - 10 years,Master's degree,Woman,53304.102179999994,USD
8017,25-34,Education (Higher Education),Standardized Patient Educator ,76960,USD,U.S.,8 - 10 years,Master's degree,Woman,76960.0,USD
8018,25-34,Art & Design,"Designer, Sweaters ",80000,USD,USA,8 - 10 years,College degree,Woman,80000.0,USD
8019,35-44,Government and Public Administration,Vice President,170000,CAD,Canada,11 - 20 years,Master's degree,Woman,136086.7,USD
8020,25-34,Recruitment or HR,IT Recruiter,80000,USD,United States,5-7 years,College degree,Woman,80000.0,USD
8021,25-34,Computing or Tech,Project manager,105000,USD,United States,5-7 years,Master's degree,Woman,105000.0,USD
8022,35-44,Education (Higher Education),Instructional Designer,64000,USD,U.S.,2 - 4 years,PhD,Woman,64000.0,USD
8023,25-34,Entertainment,Sr Programming Manager,76000,USD,USA,11 - 20 years,Master's degree,Woman,76000.0,USD
8024,35-44,Education (Higher Education),Quality Assurance,45000,USD,usa,11 - 20 years,College degree,Woman,45000.0,USD
8025,25-34,Nonprofits,Human Resources Manager,65000,USD,United States,2 - 4 years,College degree,Woman,65000.0,USD
8026,25-34,Computing or Tech,Partner Marketing Specialist,72000,USD,U.S.A.,5-7 years,College degree,Woman,72000.0,USD
8027,35-44,Nonprofits,Senior Policy Counsel,85000,USD,usa,5-7 years,"Professional degree (MD, JD, etc.)",Woman,85000.0,USD
8028,25-34,Government and Public Administration,Chief of Staff,85000,USD,United States,5-7 years,Master's degree,Woman,85000.0,USD
8029,35-44,Education (Higher Education),EU project manager,60000,EUR,Netherlands,2 - 4 years,Master's degree,Woman,65322.0,USD
8030,35-44,Computing or Tech,Data and Analytics Product Manager,135000,USD,USA,11 - 20 years,Master's degree,Woman,135000.0,USD
8031,35-44,Computing or Tech,Application Support Engineer,155000,USD,US,11 - 20 years,Master's degree,Woman,155000.0,USD
8032,65 or over,Property or Construction,Community Manager,50000,USD,United States of America,2 - 4 years,Master's degree,Woman,50000.0,USD
8033,25-34,Education (Higher Education),Assistant Professor ,64000,USD,US,11 - 20 years,PhD,Woman,64000.0,USD
8034,25-34,Education (Higher Education),Executive Assistant to the Dean for Research ,60000,USD,USA,2 - 4 years,College degree,Woman,60000.0,USD
8035,25-34,Education (Higher Education),Case Manager,33000,GBP,United Kingdom,5-7 years,Master's degree,Woman,43014.509999999995,USD
8036,45-54,Computing or Tech,Engineering Manager,196800,USD,US,21 - 30 years,College degree,Woman,196800.0,USD
8037,25-34,Health care,Scheduling Specialist,34900,USD,United States,2 - 4 years,Some college,Woman,34900.0,USD
8038,25-34,Education (Primary/Secondary),School Psychologist,50443,USD,United States ,2 - 4 years,Master's degree,Woman,50443.0,USD
8039,35-44,Political Consulting,Vice President,65000,USD,USA,11 - 20 years,College degree,Woman,65000.0,USD
8040,25-34,Education (Higher Education),Data & Systems Analyst,37840,GBP,"England, UK",5-7 years,Some college,Woman,49323.3048,USD
8041,35-44,Health care,Primary care physician ,207000,USD,US,5-7 years,"Professional degree (MD, JD, etc.)",Woman,207000.0,USD
8042,35-44,Nonprofits,"Director, (Division within Nonprofit)",70000,USD,USA,11 - 20 years,Master's degree,Woman,70000.0,USD
8043,45-54,Health care,Senior Clinical Psychologist,50575,GBP,UK,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,65922.99524999999,USD
8044,25-34,Government and Public Administration,Trainer,56000,USD,US,8 - 10 years,High School,Woman,56000.0,USD
8045,25-34,Property or Construction,Project Services Manager,70000,USD,USA,2 - 4 years,Some college,Woman,70000.0,USD
8046,25-34,Business or Consulting,Membership Director,120000,USD,USA,5-7 years,nan,Woman,120000.0,USD
8047,45-54,Public Library,Associate Director of Youth Services,51000,USD,USA,11 - 20 years,Master's degree,Woman,51000.0,USD
8048,35-44,Government and Public Administration,Compliance Director,75000,USD,USA,11 - 20 years,Some college,Woman,75000.0,USD
8049,25-34,"Accounting, Banking & Finance",Finance Manager,172000,USD,USA,5-7 years,Master's degree,Woman,172000.0,USD
8050,55-64,Education (Primary/Secondary),Paraeducator,50000,USD,USA,11 - 20 years,College degree,Woman,50000.0,USD
8051,25-34,Government and Public Administration,Special Assistant to the Secretary ,55000,USD,United States,1 year or less,College degree,Woman,55000.0,USD
8052,25-34,Education (Higher Education),Part-time Faculty ,20000,USD,USA,5-7 years,Master's degree,Non-binary,20000.0,USD
8053,25-34,Nonprofits,Information Manager,35000,GBP,UK,5-7 years,Master's degree,Woman,45621.45,USD
8054,25-34,Library/Information managment,Graduate Library Trainee,23665,GBP,United Kingdom,2 - 4 years,College degree,Woman,30846.61755,USD
8055,25-34,Education (Higher Education),PhD Graduate student,40000,USD,US,5-7 years,College degree,Woman,40000.0,USD
8056,25-34,"Marketing, Advertising & PR",Content Marketing Manager,65000,USD,US,5-7 years,College degree,Woman,65000.0,USD
8057,25-34,Learning and Development,Senior Education Specialist,62000,USD,USA,5-7 years,College degree,Man,62000.0,USD
8058,35-44,Publishing ,Production Manager ,65000,USD,U.S.,11 - 20 years,nan,nan,65000.0,USD
8059,35-44,Law,Conflicts Analyst,109000,USD,USA ,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,109000.0,USD
8060,25-34,Recruitment or HR,Recruiting Assistant,34000,USD,United States,2 - 4 years,College degree,Woman,34000.0,USD
8061,25-34,Government and Public Administration,Assistant Legal Counsel,70000,USD,United States,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,70000.0,USD
8062,55-64,Health care,Researcher,121000,USD,USA,31 - 40 years,PhD,Woman,121000.0,USD
8063,35-44,Government and Public Administration,Youth Services Librarian,38000,USD,USA,8 - 10 years,Master's degree,Woman,38000.0,USD
8064,25-34,Computing or Tech,Software Engineer,190000,USD,usa,8 - 10 years,Master's degree,Woman,190000.0,USD
8065,35-44,Computing or Tech,Operations Manager,70000,USD,USA,8 - 10 years,Some college,Woman,70000.0,USD
8066,55-64,Education (Primary/Secondary),School Librarian,80000,USD,USA,31 - 40 years,Master's degree,Woman,80000.0,USD
8067,25-34,"Marketing, Advertising & PR",Associate Digital Marketing Manager,93000,USD,United States,2 - 4 years,Master's degree,Woman,93000.0,USD
8068,25-34,Nonprofits,Associate Director of Development,52000,USD,USA,8 - 10 years,College degree,Woman,52000.0,USD
8069,45-54,Computing or Tech,Software specialist,30000,EUR,Finland,5-7 years,Master's degree,Woman,32661.0,USD
8070,25-34,Education (Higher Education),Assistant Director,50000,USD,USA,2 - 4 years,Master's degree,Woman,50000.0,USD
8071,25-34,Publishing,Editorial Assistant,45000,USD,US,2 - 4 years,Master's degree,Woman,45000.0,USD
8072,25-34,Health care,Analyst,42000,USD,America,2 - 4 years,College degree,Woman,42000.0,USD
8073,25-34,"Accounting, Banking & Finance",Compliance Analyst,80000,USD,United States,5-7 years,College degree,Woman,80000.0,USD
8074,25-34,Recruitment or HR,Senior HR Business Partner,122500,USD,United States,5-7 years,College degree,Woman,122500.0,USD
8075,35-44,Computing or Tech,Systems Administrator,90000,USD,United States,11 - 20 years,Master's degree,Woman,90000.0,USD
8076,35-44,Government and Public Administration,Library Director,84000,USD,US,21 - 30 years,Master's degree,Woman,84000.0,USD
8077,45-54,Government and Public Administration,State government lawyer,125000,USD,USA,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,125000.0,USD
8078,25-34,Education (Higher Education),Adjunct professor,36000,USD,United States,5-7 years,Master's degree,Woman,36000.0,USD
8079,35-44,Business or Consulting,Global EA,50500,GBP,UK,11 - 20 years,College degree,Woman,65825.235,USD
8080,25-34,Engineering or Manufacturing,Engineer,125000,USD,USA,8 - 10 years,Master's degree,Man,125000.0,USD
8081,25-34,Nonprofits,Senior Grant Writer,62423,USD,USA,2 - 4 years,College degree,Man,62423.0,USD
8082,35-44,Nonprofits,Registrar,75212,USD,United States,8 - 10 years,Master's degree,Woman,75212.0,USD
8083,25-34,"Marketing, Advertising & PR",Account Coordinator ,45000,USD,USA,1 year or less,College degree,Woman,45000.0,USD
8084,25-34,Government and Public Administration,Outreach and DIgital Resources Librarian,43000,USD,United States,8 - 10 years,Master's degree,Woman,43000.0,USD
8085,25-34,Law,assocaite,280000,USD,united states,5-7 years,"Professional degree (MD, JD, etc.)",Woman,280000.0,USD
8086,35-44,Media & Digital,Video Content Producer,63000,USD,United States,8 - 10 years,Master's degree,Woman,63000.0,USD
8088,25-34,Education (Higher Education),Process Manager,61200,USD,United States of America,11 - 20 years,College degree,Man,61200.0,USD
8089,35-44,Computing or Tech,Technical Writer,75000,USD,United States,11 - 20 years,College degree,Woman,75000.0,USD
8090,25-34,Government and Public Administration,Office Assistant,39632,USD,United States,8 - 10 years,College degree,Woman,39632.0,USD
8091,45-54,"Marketing, Advertising & PR",Program Manager,123050,USD,USA,11 - 20 years,Master's degree,Woman,123050.0,USD
8092,18-24,Data Analytics,Analyst,55000,USD,U.S.,1 year or less,College degree,Man,55000.0,USD
8093,25-34,Nonprofits,Archives & Records Manager,52000,USD,United States of America,5-7 years,Master's degree,Man,52000.0,USD
8094,45-54,Nonprofits,Information and Systems Officer ,42600,GBP,UK,8 - 10 years,PhD,Woman,55527.82199999999,USD
8095,25-34,Luxury Fashion,Data Analyst ,68000,USD,USA,8 - 10 years,Master's degree,Woman,68000.0,USD
8096,35-44,Clergy,Clergy (don't want to be more specific due to anonymity),108150,USD,US,5-7 years,"Professional degree (MD, JD, etc.)",Woman,108150.0,USD
8097,25-34,Data Entry,Data Entry,31000,USD,USA,5-7 years,Some college,Woman,31000.0,USD
8098,35-44,Government and Public Administration,managing librarian,75000,USD,USA,11 - 20 years,Master's degree,Woman,75000.0,USD
8099,45-54,Computing or Tech,Software Engineer,115000,USD,United States of America,5-7 years,Master's degree,Man,115000.0,USD
8100,25-34,Nonprofits,Finance & HR Manager,63000,USD,USA,5-7 years,College degree,Man,63000.0,USD
8101,35-44,Sales,Electrical cable and wire sales ,62000,CAD,Canada,2 - 4 years,College degree,Man,49631.62,USD
8102,45-54,Media & Digital,Editor,135987,USD,USA,21 - 30 years,College degree,Woman,135987.0,USD
8103,45-54,Education (Higher Education),"Director, Career Services",89000,USD,United States,31 - 40 years,Master's degree,Man,89000.0,USD
8104,35-44,Translation,Operations (Other),75000,USD,United States,5-7 years,College degree,Other or prefer not to answer,75000.0,USD
8105,35-44,"Marketing, Advertising & PR",Director of Content Strategy,77000,USD,United States,11 - 20 years,College degree,Woman,77000.0,USD
8106,18-24,Property or Construction,Assistant Property Manager ,31680,USD,US,2 - 4 years,Some college,Woman,31680.0,USD
8107,35-44,Government and Public Administration,Epidemiologist,65000,USD,USA,5-7 years,Master's degree,Woman,65000.0,USD
8108,45-54,Engineering or Manufacturing,Quality Manager,46000,USD,United States,5-7 years,Master's degree,Woman,46000.0,USD
8109,25-34,"Marketing, Advertising & PR",Graphic Designer,124800,USD,United States,2 - 4 years,Master's degree,Woman,124800.0,USD
8110,35-44,Health care,Speech Language Pathologist,48000,USD,USA,2 - 4 years,Master's degree,Non-binary,48000.0,USD
8111,35-44,Insurance,Executive Assistant,65000,USD,US,5-7 years,Master's degree,Woman,65000.0,USD
8112,45-54,"Accounting, Banking & Finance",Accountant III,56409,USD,USA ,11 - 20 years,Master's degree,Woman,56409.0,USD
8113,25-34,Computing or Tech,Account Executive,60000,USD,USA,2 - 4 years,College degree,Man,60000.0,USD
8114,25-34,Retail,Optician,38000,USD,United States of America,2 - 4 years,College degree,Woman,38000.0,USD
8115,35-44,Media & Digital,copy editor,90000,USD,USA,11 - 20 years,College degree,Woman,90000.0,USD
8116,25-34,"Marketing, Advertising & PR",Marketing Manager ,83000,CAD,Canada,5-7 years,College degree,Woman,66442.33,USD
8117,55-64,Recruitment or HR,HR Manager,70000,USD,US,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,70000.0,USD
8118,35-44,Computing or Tech,Data Scientist,170000,USD,USA,5-7 years,PhD,Woman,170000.0,USD
8119,18-24,Recruitment or HR,Executive Assistant,30000,GBP,Uk,2 - 4 years,College degree,Woman,39104.1,USD
8120,25-34,Insurance,HR Data Analyst,55680,EUR,Belgium,5-7 years,"Professional degree (MD, JD, etc.)",Woman,60618.816,USD
8121,25-34,Business or Consulting,Grant Writer,24000,USD,United states,2 - 4 years,Some college,Non-binary,24000.0,USD
8122,45-54,Education (Primary/Secondary),teacher,109769,USD,USA,21 - 30 years,College degree,Woman,109769.0,USD
8123,25-34,Nonprofits,Public Engagement Officer ,37000,GBP,United Kingdom,2 - 4 years,Master's degree,Woman,48228.39,USD
8124,25-34,Computing or Tech,Scientist,90000,USD,US,2 - 4 years,PhD,Woman,90000.0,USD
8125,55-64,Nonprofits,Program Director,71350,USD,United States,21 - 30 years,Master's degree,Woman,71350.0,USD
8126,35-44,Health care,Senior Compensation Analyst,66500,USD,USA,8 - 10 years,Master's degree,Woman,66500.0,USD
8127,35-44,Nonprofits,Project specialist ,36000,EUR,Spain ,8 - 10 years,Master's degree,Woman,39193.2,USD
8128,35-44,Law,Senior Associate (Lawyer),340000,USD,USA,5-7 years,"Professional degree (MD, JD, etc.)",Woman,340000.0,USD
8129,45-54,"Marketing, Advertising & PR",EA to CEO,76200,GBP,U.K. ,21 - 30 years,Some college,Woman,99324.41399999999,USD
