Id,age,Industry,job,salary,currency,country,years_field_experience,education,gender,salary_usd,new_currency
26475,25-34,Retail,Materials Developer,75110,USD,USA,2 - 4 years,College degree,Woman,75110.0,USD
26476,18-24,Retail,Pharmacy Technician,33425,USD,US,1 year or less,College degree,Woman,33425.0,USD
26477,35-44,Computing or Tech,Segment Marketing Manager,87000,USD,United States,11 - 20 years,College degree,Woman,87000.0,USD
26478,25-34,Computing or Tech,HRIS Architect,155000,USD,US,8 - 10 years,College degree,Woman,155000.0,USD
26479,25-34,Recruitment or HR,Operations Analyst,71000,USD,United States,5-7 years,College degree,Woman,71000.0,USD
26480,25-34,Computing or Tech,Software Engineer II,78750,USD,United States,2 - 4 years,College degree,Woman,78750.0,USD
26481,55-64,Utilities & Telecommunications,Senior director ,200000,USD,Usa,21 - 30 years,PhD,Man,200000.0,USD
26482,35-44,Nonprofits,Database and evaluation coordinator,62000,USD,United States,5-7 years,Master's degree,Woman,62000.0,USD
26483,25-34,Art & Design,Interior Designer,57000,USD,USA,5-7 years,College degree,Woman,57000.0,USD
26484,35-44,Engineering or Manufacturing,Program Manager,196000,USD,United States,21 - 30 years,College degree,Man,196000.0,USD
26485,25-34,Education (Higher Education),Technical Services Librarian,40170,USD,USA,2 - 4 years,Master's degree,Woman,40170.0,USD
26486,25-34,Government and Public Administration,Library Assistant,32460,USD,United States,5-7 years,College degree,Woman,32460.0,USD
26487,45-54,Education (Higher Education),Assistant Professor,70000,USD,USA,11 - 20 years,PhD,Woman,70000.0,USD
26488,25-34,Engineering or Manufacturing,Senior Staff Engineer,75000,USD,United States,5-7 years,Master's degree,Man,75000.0,USD
26489,25-34,Engineering or Manufacturing,Department Manager,98000,USD,United States,5-7 years,Master's degree,Woman,98000.0,USD
26490,35-44,"Marketing, Advertising & PR",VP Client Services,126000,CAD,Canada,11 - 20 years,College degree,Man,100864.26000000001,USD
26491,35-44,Computing or Tech,DevOps Engineer,34000,GBP,UK,8 - 10 years,College degree,Man,44317.979999999996,USD
26492,35-44,Computing or Tech,Director of sales,90000,USD,USA,2 - 4 years,Some college,Woman,90000.0,USD
26493,25-34,"Leisure, Sport & Tourism",Regional operations manager,67500,USD,Us,5-7 years,Master's degree,Woman,67500.0,USD
26494,35-44,Education (Primary/Secondary),High School Teacher,56650,USD,United States,2 - 4 years,Master's degree,Woman,56650.0,USD
26495,35-44,Nonprofits,Senior Manager,47500,GBP,UK,11 - 20 years,Master's degree,Woman,61914.825,USD
26496,35-44,"Marketing, Advertising & PR",Marketing Content Manager,69000,USD,USA,5-7 years,College degree,Woman,69000.0,USD
26497,45-54,Law,Administrative Law Specialist,125364,USD,USA,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,125364.0,USD
26498,25-34,"Accounting, Banking & Finance",Senior Tax Accountant ,75000,USD,United States ,5-7 years,College degree,Woman,75000.0,USD
26499,25-34,Computing or Tech,Product researcher,128000,CAD,Canada,2 - 4 years,PhD,Woman,102465.28000000001,USD
26500,45-54,"Accounting, Banking & Finance",Accounting Manager,75000,USD,usa,8 - 10 years,College degree,Woman,75000.0,USD
26501,25-34,Engineering or Manufacturing,Client Account Partner,90000,USD,United States,5-7 years,College degree,Woman,90000.0,USD
26502,25-34,Computing or Tech,Front End Web Developer,85000,USD,USA,2 - 4 years,College degree,Woman,85000.0,USD
26503,35-44,Computing or Tech,Devops,90000,CAD,Canada,21 - 30 years,College degree,Man,72045.90000000001,USD
26504,25-34,Computing or Tech,Project Manager,128000,USD,USA,8 - 10 years,Master's degree,Woman,128000.0,USD
26505,25-34,Health care,emt,37400,USD,us,5-7 years,Some college,Man,37400.0,USD
26506,25-34,"Accounting, Banking & Finance",Finance and payroll support analyst,54000,USD,US,8 - 10 years,College degree,Woman,54000.0,USD
26507,45-54,Media & Digital,Editorial Director,105000,USD,USA,31 - 40 years,College degree,Woman,105000.0,USD
26508,25-34,"Accounting, Banking & Finance",Associate,85000,USD,United States,5-7 years,College degree,Woman,85000.0,USD
26509,25-34,Health care,Outpatient Medical Coder,43160,USD,United States,5-7 years,College degree,Woman,43160.0,USD
26510,25-34,Engineering or Manufacturing,Mechanical Engineer II,94000,USD,USA,5-7 years,College degree,Man,94000.0,USD
